   th_cm th3_lab th4_lab       theory     +- error    reference     +- error         DChi
    1.00    0.50   89.50 -0.20818E-02   0.0000       0.0000       0.0000       0.0000
    2.00    0.99   88.99 -0.41632E-02   0.0000       0.0000       0.0000       0.0000
    3.00    1.49   88.49 -0.62436E-02   0.0000       0.0000       0.0000       0.0000
    4.00    1.98   87.99 -0.83228E-02   0.0000       0.0000       0.0000       0.0000
    5.00    2.48   87.48 -0.10400E-01   0.0000       0.0000       0.0000       0.0000
    6.00    2.98   86.98 -0.12475E-01   0.0000       0.0000       0.0000       0.0000
    7.00    3.47   86.47 -0.14548E-01   0.0000       0.0000       0.0000       0.0000
    8.00    3.97   85.97 -0.16617E-01   0.0000       0.0000       0.0000       0.0000
    9.00    4.46   85.47 -0.18682E-01   0.0000       0.0000       0.0000       0.0000
   10.00    4.96   84.96 -0.20743E-01   0.0000       0.0000       0.0000       0.0000
   11.00    5.46   84.46 -0.22800E-01   0.0000       0.0000       0.0000       0.0000
   12.00    5.95   83.96 -0.24851E-01   0.0000       0.0000       0.0000       0.0000
   13.00    6.45   83.45 -0.26896E-01   0.0000       0.0000       0.0000       0.0000
   14.00    6.95   82.95 -0.28936E-01   0.0000       0.0000       0.0000       0.0000
   15.00    7.44   82.45 -0.30968E-01   0.0000       0.0000       0.0000       0.0000
   16.00    7.94   81.94 -0.32992E-01   0.0000       0.0000       0.0000       0.0000
   17.00    8.43   81.44 -0.35009E-01   0.0000       0.0000       0.0000       0.0000
   18.00    8.93   80.94 -0.37017E-01   0.0000       0.0000       0.0000       0.0000
   19.00    9.43   80.43 -0.39015E-01   0.0000       0.0000       0.0000       0.0000
   20.00    9.92   79.93 -0.41004E-01   0.0000       0.0000       0.0000       0.0000
   21.00   10.42   79.43 -0.42982E-01   0.0000       0.0000       0.0000       0.0000
   22.00   10.92   78.92 -0.44949E-01   0.0000       0.0000       0.0000       0.0000
   23.00   11.41   78.42 -0.46904E-01   0.0000       0.0000       0.0000       0.0000
   24.00   11.91   77.92 -0.48846E-01   0.0000       0.0000       0.0000       0.0000
   25.00   12.40   77.41 -0.50776E-01   0.0000       0.0000       0.0000       0.0000
   26.00   12.90   76.91 -0.52691E-01   0.0000       0.0000       0.0000       0.0000
   27.00   13.40   76.41 -0.54593E-01   0.0000       0.0000       0.0000       0.0000
   28.00   13.89   75.90 -0.56479E-01   0.0000       0.0000       0.0000       0.0000
   29.00   14.39   75.40 -0.58350E-01   0.0000       0.0000       0.0000       0.0000
   30.00   14.89   74.90 -0.60204E-01   0.0000       0.0000       0.0000       0.0000
   31.00   15.38   74.39 -0.62042E-01   0.0000       0.0000       0.0000       0.0000
