# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
    1        29.89      -12.826    0.0951927    -0.190837    -0.126867     0.289842   0.00373738   -0.00158994   -0.0032619   1.27177e-05
    2      37.1668     -18.0579     0.245524    -0.490312    -0.333096     0.793728    0.0119456   -0.00795291   -0.0168582   0.000124222
    3      41.0999     -22.0162     0.413541    -0.824101    -0.571147      1.41481     0.023952   -0.0195352    -0.042645   0.000446935
    4      43.5925      -25.306     0.586493     -1.16789    -0.824575      2.11725    0.0393437    -0.035997   -0.0807044   0.00107253
    5      45.3131     -28.1637     0.758177      -1.5103     -1.08501      2.88046    0.0577449   -0.0567949    -0.130476   0.00206677
    6      46.5676     -30.7112     0.925323     -1.84553     -1.34769      3.69079    0.0788125   -0.0813565    -0.191143    0.0034727
    7      47.5179     -33.0215      1.08619     -2.17059     -1.60977      4.53841     0.102237    -0.109143     -0.26181   0.00531524
    8      48.2586     -35.1428       1.2399     -2.48403     -1.86951      5.41587     0.127741    -0.139671     -0.34158   0.00760553
    9      48.8484     -37.1086      1.38608     -2.78526     -2.12582      6.31725     0.155081    -0.172516      -0.4296    0.0103445
   10      49.3263     -38.9436      1.52467     -3.07422     -2.37805      7.23769     0.184036    -0.207309    -0.525073    0.0135258
   11      49.7186     -40.6664      1.65576     -3.35112     -2.62582      8.17313     0.214415    -0.243733    -0.627271    0.0171379
   12      50.0441     -42.2919       1.7796     -3.61633     -2.86893      9.12005     0.246045    -0.281514    -0.735529    0.0211655
   13      50.3166     -43.8316      1.89645     -3.87034      -3.1073      10.0754     0.278775    -0.320418    -0.849247    0.0255912
   14      50.5462     -45.2952      2.00663     -4.11365     -3.34095      11.0364     0.312469    -0.360242    -0.967882    0.0303963
   15      50.7406     -46.6907      2.11048     -4.34679     -3.56992      12.0008     0.347006    -0.400813     -1.09095     0.035561
   16      50.9059     -48.0246      2.20833     -4.57031     -3.79431      12.9662     0.382279    -0.441982       -1.218    0.0410657
   17      51.0467     -49.3027      2.30048      -4.7847     -4.01424      13.9308     0.418191     -0.48362     -1.34864    0.0468905
   18      51.1667     -50.5298      2.38727     -4.99046     -4.22984      14.8927     0.454656    -0.525617     -1.48252    0.0530161
   19      51.2691     -51.7102      2.46898     -5.18805     -4.44124      15.8502     0.491597    -0.567875     -1.61931    0.0594238
   20      51.3562     -52.8475      2.54591     -5.37793     -4.64859      16.8018     0.528944    -0.610314     -1.75873    0.0660954
   21      51.4301     -53.9449      2.61831     -5.56051     -4.85203      17.7462     0.566634     -0.65286     -1.90051    0.0730133
   22      51.4924     -55.0055      2.68644     -5.73617     -5.05171      18.6821     0.604611    -0.695451     -2.04441    0.0801611
   23      51.5446     -56.0316      2.75054     -5.90529     -5.24775      19.6084     0.642824    -0.738035     -2.19023    0.0875229
   24      51.5877     -57.0256      2.81083      -6.0682      -5.4403       20.524     0.681225    -0.780564     -2.33777    0.0950836
   25      51.6229     -57.9895      2.86751     -6.22523     -5.62949      21.4281     0.719775    -0.822998     -2.48685     0.102829
   26      51.6509     -58.9252      2.92078     -6.37668     -5.81543      22.3196     0.758433    -0.865301     -2.63731     0.110745
   27      51.6726     -59.8344      2.97083     -6.52283     -5.99826       23.198     0.797167    -0.907445     -2.78901      0.11882
   28      51.6885     -60.7186      3.01781     -6.66393     -6.17809      24.0626     0.835944    -0.949401     -2.94182     0.127041
   29      51.6991     -61.5793       3.0619     -6.80025     -6.35502      24.9127     0.874737    -0.991148     -3.09561     0.135398
   30       51.705     -62.4176      3.10323       -6.932     -6.52916      25.7479     0.913518     -1.03267     -3.25029     0.143878
   31      51.7066     -63.2348      3.14195      -7.0594     -6.70062      26.5678     0.952265     -1.07394     -3.40574     0.152473
   32      51.7043     -64.0319      3.17819     -7.18266     -6.86949       27.372     0.990955     -1.11495     -3.56188     0.161172
   33      51.6983       -64.81      3.21206     -7.30197     -7.03586      28.1602      1.02957     -1.15569     -3.71863     0.169967
   34       51.689       -65.57      3.24369      -7.4175     -7.19981      28.9321      1.06809     -1.19615      -3.8759      0.17885
   35      51.6766     -66.3127      3.27319     -7.52942     -7.36144      29.6877       1.1065     -1.23631     -4.03364     0.187812
   36      51.6614     -67.0389      3.30065     -7.63788     -7.52082      30.4267      1.14479     -1.27617     -4.19177     0.196845
   37      51.6435     -67.7495      3.32616     -7.74305     -7.67802      31.1492      1.18293     -1.31573     -4.35024     0.205944
   38      51.6231      -68.445      3.34982     -7.84505     -7.83313       31.855      1.22093     -1.35498       -4.509     0.215101
