# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 1D2    np 3D2    np 3D1    np 3D3     np E1    np 1F3    np 3F3    np 3F2    np 3F4     np E2
  1.00   30.4665  -12.8186    0.0943   -0.1893   -0.1259    0.2864    0.0037   -0.0016    0.0013    0.0060   -0.0032    0.0000    0.0943   -0.0001   -0.0000    0.0000    0.0000   -0.0016
  2.00   37.7926  -18.0471    0.2433   -0.4865   -0.3305    0.7842    0.0118   -0.0079    0.0063    0.0302   -0.0167    0.0001    0.2433   -0.0007   -0.0003    0.0001    0.0000   -0.0079
  3.00   41.7298  -22.0024    0.4099   -0.8178   -0.5668    1.3975    0.0236   -0.0193    0.0153    0.0749   -0.0423    0.0001    0.4099   -0.0025   -0.0012    0.0004    0.0000   -0.0193
  4.00   44.2156  -25.2896    0.5813   -1.1590   -0.8184    2.0908    0.0388   -0.0357    0.0280    0.1394   -0.0800   -0.0001    0.5813   -0.0059   -0.0028    0.0011    0.0000   -0.0357
  5.00   45.9264  -28.1448    0.7516   -1.4990   -1.0769    2.8439    0.0570   -0.0563    0.0439    0.2219   -0.1293   -0.0007    0.7516   -0.0111   -0.0052    0.0020    0.0001   -0.0563
  6.00   47.1706  -30.6899    0.9173   -1.8319   -1.3378    3.6432    0.0778   -0.0806    0.0623    0.3207   -0.1895   -0.0017    0.9173   -0.0183   -0.0087    0.0034    0.0002   -0.0806
  7.00   48.1112  -32.9981    1.0769   -2.1547   -1.5980    4.4790    0.1010   -0.1081    0.0830    0.4339   -0.2595   -0.0031    1.0769   -0.0275   -0.0132    0.0053    0.0003   -0.1081
  8.00   48.8427  -35.1172    1.2294   -2.4660   -1.8560    5.3440    0.1262   -0.1384    0.1054    0.5599   -0.3386   -0.0049    1.2294   -0.0386   -0.0187    0.0075    0.0005   -0.1384
  9.00   49.4241  -37.0809    1.3744   -2.7652   -2.1106    6.2323    0.1532   -0.1710    0.1292    0.6971   -0.4259   -0.0072    1.3744   -0.0516   -0.0252    0.0102    0.0008   -0.1710
 10.00   49.8940  -38.9138    1.5119   -3.0523   -2.3611    7.1392    0.1818   -0.2055    0.1541    0.8442   -0.5205   -0.0099    1.5119   -0.0663   -0.0326    0.0134    0.0011   -0.2055
 11.00   50.2791  -40.6347    1.6420   -3.3273   -2.6073    8.0607    0.2119   -0.2416    0.1799    1.0000   -0.6219   -0.0130    1.6420   -0.0827   -0.0410    0.0170    0.0015   -0.2416
 12.00   50.5979  -42.2583    1.7649   -3.5908   -2.8488    8.9933    0.2432   -0.2790    0.2064    1.1635   -0.7292   -0.0166    1.7649   -0.1006   -0.0503    0.0210    0.0019   -0.2790
 13.00   50.8641  -43.7961    1.8809   -3.8432   -3.0856    9.9341    0.2755   -0.3176    0.2334    1.3337   -0.8420   -0.0204    1.8809   -0.1199   -0.0604    0.0253    0.0025   -0.3176
 14.00   51.0879  -45.2579    1.9903   -4.0850   -3.3178   10.8804    0.3088   -0.3571    0.2607    1.5098   -0.9596   -0.0247    1.9903   -0.1405   -0.0714    0.0301    0.0031   -0.3571
 15.00   51.2768  -46.6516    2.0934   -4.3166   -3.5453   11.8299    0.3430   -0.3973    0.2882    1.6911   -1.0817   -0.0293    2.0934   -0.1623   -0.0830    0.0352    0.0038   -0.3973
 16.00   51.4369  -47.9838    2.1906   -4.5387   -3.7683   12.7804    0.3779   -0.4382    0.3158    1.8769   -1.2077   -0.0341    2.1906   -0.1850   -0.0954    0.0407    0.0046   -0.4382
 17.00   51.5728  -49.2601    2.2821   -4.7518   -3.9868   13.7300    0.4134   -0.4794    0.3434    2.0667   -1.3373   -0.0393    2.2821   -0.2088   -0.1084    0.0464    0.0055   -0.4794
